Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1884-01-23,Crested Butte,Crested Butte,CO,59,Coal,Explosion,UG,Coal
1884-02-19,West Leisenring,West Leisenring,PA,19,Coal,Explosion,UG,Coal
1884-03-12,Laurel,Pocahontas,VA,112,Coal,Explosion,UG,Coal
1884-05-02,Gouverneur,Gouverneur,NY,6,Marble,Explosion of boiler,Surface,Stone
1884-08-20,Buck Ridge,Shamokin,PA,7,Coal,Fire,UG,Coal
1884-10-26,Youngstown,Uniontown,PA,14,Coal,Explosion,UG,Coal
1885-04-05,Cuyler,Raven Run,PA,10,Coal,Roof fall,UG,Coal
1885-08-10,West End,Mocanaqua,PA,10,Coal,Gas/boiler fire,UG,Coal
1885-10-20,Plymouth No. 2,Plymouth,PA,6,Coal,Explosion,UG,Coal
1885-11-12,Bull Domingo,Silver Cliff,CO,10,"Silver, Gold",Dynamite explosion,UG,Metal
1885-12-17,Slope No. 1,Nanticoke,PA,26,Coal,Inrush of water,UG,Coal
1886-01-11,Almy No. 4,Almy,WY,13,Coal,Explosion,UG,Coal
1886-01-20,Newburg,Newburg,WV,39,Coal,Explosion,UG,Coal
1886-03-07,Uniondale,Dunbar,PA,6,Coal,Explosion,UG,Coal
1886-08-29,Fair Lawn,Scranton,PA,6,Coal,Explosion,UG,Coal
1886-09-12,Marvine,Scranton,PA,8,Coal,Suffocated by gas,UG,Coal
1886-11-25,Conyngham,Wilkes-Barre,PA,12,Coal,Explosion,UG,Coal
1887-04-03,Old Savanna No. 2,Savanna,OK,18,Coal,Explosion,UG,Coal
1887-04-26,Tunnel,Ashland,PA,5,Coal,Suffocated by gas,UG,Coal
1887-09-30,Bast,Ashland,PA,5,Coal,Suffocated by gas,UG,Coal
1888-03-28,Keith & Perry No. 6,Rich Hill,MO,24,Coal,Explosion,UG,Coal
1888-11-02,Kettle Creek,Clinton Co.,PA,17,Coal,Explosion,UG,Coal
1888-11-08,Shaft No. 2,Frontenac,KS,40,Coal,Explosion,UG,Coal
1889-05-08,Kaska William,Middleport,PA,10,Coal,Mine car fell on men in cage,UG,Coal
1889-09-08,White Ash,Golden,CO,10,Coal,Inrush of water,UG,Coal
1889-11-22,Neversweat-St. Lawrence,Butte,MT,6,Copper,Fire,UG,Metal
1890-01-31,Nottingham,Plymouth,PA,8,Coal,Explosion,UG,Coal
1890-03-02,Shaft No. 3,Wilkes-Barre,PA,8,Coal,Fire,UG,Coal
1890-04-01,Susquehanna No. 4,Nanticoke,PA,5,Coal,Explosion,UG,Coal
1890-05-14,Jersey No. 8,Ashley,PA,26,Coal,Explosion,UG,Coal
1890-06-15,Hill Farm,Dunbar,PA,31,Coal,Fire,UG,Coal
1891-01-26,Mammouth,Mount Pleasant,PA,109,Coal,Explosion,UG,Coal
1891-02-03,Spring Mountain,Jeanesville,PA,9,Coal,Inrush of water,UG,Coal
1891-05-21,Pratt No. 1 Shaft,Pratt City,AL,11,Coal,Explosion,UG,Coal
1891-10-22,Richardson,Glen Carbon,PA,7,Coal,Suffocation by gas,UG,Coal
1891-11-07,Susquehanna No. 1,Nanticoke,PA,12,Coal,Explosion,UG,Coal
1892-01-06,No. 11,Krebs,OK,100,Coal,Explosion,UG,Coal
1892-04-19,Lytle,Minersville,PA,10,Coal,Inrush of water,UG,Coal
1892-05-09,Roslyn,Roslyn,WA,45,Coal,Explosion,UG,Coal
1892-07-22,York Farm,Pottsville,PA,15,Coal,Explosion,UG,Coal
1893-01-09,Como,King,CO,24,Coal,Explosion,UG,Coal
1893-02-10,Sheldon Quarry,West Rutland,VT,5,Marble,Roof fall,Surface,Stone
1893-02-13,Chicago and Iowa,Albia,IA,8,Coal,Explosion,UG,Coal
1893-03-12,Choctaw,Alderson,OK,9,Coal,Explosion,UG,Coal
1893-03-31,Neilson,Shamokin,PA,10,Coal,Fire,UG,Coal
1893-04-20,Silver Bow No. 2,Butte,MT,9,Copper,Fire,UG,Metal
1893-05-13,Red Jacket Shaft,Calumet,MI,10,Copper,Hoisting cage overwind,UG,Metal
1893-06-21,Susquehanna No. 1,Nanticoke,PA,5,Coal,Explosion,UG,Coal
